Datum;Volume;Open;Hoog;Laag;Slot
5-7-2007;Null;555,61;555,63;549,92;550,8
4-7-2007;Null;553,45;554,62;552,2;554,25
3-7-2007;Null;553,19;553,88;552,41;553,04
2-7-2007;Null;545,5;550,36;545,5;549,84
29-6-2007;Null;547,35;548,21;543,85;548,21
28-6-2007;Null;543,66;546,02;542,76;546,02
27-6-2007;Null;540,56;542,14;538,74;539,62
26-6-2007;Null;544,54;546,15;542,88;543,26
25-6-2007;Null;545,18;548,7;543,73;548,22
22-6-2007;Null;551,82;552,62;548,1;548,75
21-6-2007;Null;550,07;551,69;547,22;550,54
20-6-2007;Null;551,83;554,96;551,31;552,14
19-6-2007;Null;550,63;552,4;549,5;550,36
18-6-2007;Null;551,27;553,06;549,76;551,27
15-6-2007;Null;546,69;552,37;546,22;551,91
14-6-2007;Null;540,94;545,34;540,49;545,34
13-6-2007;Null;532,76;537,32;530,53;536,4
12-6-2007;Null;536,81;538,65;532,54;534,11
11-6-2007;Null;537,64;538,28;536,07;537,8
8-6-2007;Null;532,27;535,99;530,8;534,69
7-6-2007;Null;539,26;540,96;533,91;535,05
6-6-2007;Null;543,93;545,01;536,89;537,51
5-6-2007;Null;546;547,82;543,59;544,75
4-6-2007;Null;543,7;545,89;543,08;545,69
1-6-2007;Null;541,01;544,27;540,67;543,93
31-5-2007;Null;538,9;541,64;538,51;540,39
30-5-2007;Null;533,38;535,4;531,31;535,01
29-5-2007;Null;538,42;538,42;535,82;537,19
28-5-2007;Null;536,3;537,78;536;537,56
25-5-2007;Null;532,62;535,89;531,65;535,48
24-5-2007;Null;538,78;540,75;535,75;535,99
23-5-2007;Null;541,03;542,07;540,3;541,61
22-5-2007;Null;538,25;541,8;536,89;540,57
21-5-2007;Null;538,4;539,74;535,73;538,38
18-5-2007;Null;531,41;538,29;531,41;536,69
17-5-2007;Null;528,88;532,27;527,93;531,53
16-5-2007;Null;530,9;531,84;526,82;527,55
15-5-2007;Null;528,03;532,94;525,65;531,39
14-5-2007;Null;533;533,72;528,73;529,89
11-5-2007;Null;525,41;532;521,1;531,2
10-5-2007;Null;535,16;535,66;528,63;529,23
9-5-2007;Null;535,4;537,09;532,96;534,3
8-5-2007;Null;539,24;539,24;535,08;535,7
7-5-2007;Null;540,05;540,32;537,32;540,03
4-5-2007;Null;536,86;540,77;536,45;539,64
3-5-2007;Null;536,56;537,13;533,04;536,12
2-5-2007;Null;532,09;534,46;529,65;532,23
30-4-2007;Null;528,36;532,47;528,36;530,81
27-4-2007;Null;533,18;534,38;529,05;530,49
26-4-2007;Null;536,88;537,81;533,47;534,04
25-4-2007;Null;535,63;536,68;532,83;535,33
24-4-2007;Null;535,25;536,36;530,64;532,56
23-4-2007;Null;538,61;538,87;534,09;535,47
20-4-2007;Null;531,19;539,08;530,93;536,36
19-4-2007;Null;525,91;529;523,75;528,66
18-4-2007;Null;531,58;532,35;528,47;531,24
17-4-2007;Null;531,43;533,59;529,21;532,68
16-4-2007;Null;528,53;532,23;527,32;532,09
13-4-2007;Null;519,8;524,21;519,72;523,68
12-4-2007;Null;520,73;521,74;516,05;518,91
11-4-2007;Null;524,15;526,81;521,43;522,1
10-4-2007;Null;519,26;525,35;519,13;524,09
5-4-2007;Null;517,26;519,31;516,17;519,29
4-4-2007;Null;517,8;517,92;515,67;517,6
3-4-2007;Null;514,68;516,04;512,49;516,04
2-4-2007;Null;510,5;513,33;509,76;512,02
30-3-2007;Null;510,54;514,46;509,11;510,5
29-3-2007;Null;507,5;511,88;507,42;511,85
28-3-2007;Null;505,9;506,72;503;505,11
27-3-2007;Null;511,65;511,98;506,71;508,21
26-3-2007;Null;514,73;515,86;507,25;508,8
23-3-2007;Null;508,85;515,33;507,35;513,84
22-3-2007;Null;507,92;511,06;505,89;509,01
21-3-2007;Null;497,94;501,93;497,93;500,89
20-3-2007;Null;494,82;498,96;490,88;498,29
19-3-2007;Null;490,05;492,44;486,97;492,44
16-3-2007;Null;482,42;485,7;480,63;482,14
15-3-2007;Null;480,24;483,39;477,13;483,39
14-3-2007;Null;476,56;478,87;473,08;473,38
13-3-2007;Null;489,98;490,29;484,38;484,38
12-3-2007;Null;493,85;494,4;488,25;489,54
9-3-2007;Null;489,04;492,02;486,16;490,35
8-3-2007;Null;486,03;489,37;484,77;489,03
7-3-2007;Null;480,28;483,52;477,51;481,9
6-3-2007;Null;479,56;479,77;476,49;478,16
5-3-2007;Null;471,16;476,77;469,85;475,59
2-3-2007;Null;484,06;486,19;477,07;480,2
1-3-2007;Null;489,58;493,71;477,49;481,96
28-2-2007;Null;491,76;496,22;490,05;490,21
27-2-2007;Null;507,4;507,4;499,01;500,33
26-2-2007;Null;511,03;512,38;510,24;511,17
23-2-2007;Null;510,56;511,45;508,73;510,61
22-2-2007;Null;510,7;512,47;509,33;509,33
21-2-2007;Null;509,84;511,25;507,35;508,78
20-2-2007;Null;509,47;509,55;504,91;508,02
19-2-2007;Null;507;510,87;507;509,22
16-2-2007;Null;507,07;508,5;505,79;506,1
15-2-2007;Null;508,67;509,18;506,18;507,77
14-2-2007;Null;508,01;508,64;506,34;508,07
13-2-2007;Null;504,07;507;504,07;506,66
12-2-2007;Null;504,63;505,5;502,5;503,77
9-2-2007;Null;507,32;508,66;507,03;507,3
8-2-2007;Null;508,35;508,71;503,81;504,78
7-2-2007;Null;507,81;509,88;507,5;509,08
6-2-2007;Null;506,21;509,35;506,21;507,4
5-2-2007;Null;506,88;506,88;505,39;506,19
2-2-2007;Null;507,23;508,39;505,91;506,78
