Datum;Volume;Open;Hoog;Laag;Slot
6-9-2021;Null;792,79;799,56;792,79;798,55
3-9-2021;Null;793,23;794,1;784,81;789,55
2-9-2021;Null;789,11;793,76;787,63;793,32
1-9-2021;Null;793,39;793,91;787,75;790
31-8-2021;Null;791,27;792,54;784,9;787,62
30-8-2021;Null;788,32;790,23;787,88;789,14
27-8-2021;Null;780,41;787,33;779,85;787,04
26-8-2021;Null;778,19;781,94;776,19;780,31
25-8-2021;Null;783,56;785,46;781,24;781,93
24-8-2021;Null;785,02;785,61;780,55;783,15
23-8-2021;Null;777,14;780,86;773,24;780,28
20-8-2021;Null;766,09;772,92;763,34;771,41
19-8-2021;Null;761,22;766,27;755,33;765,83
18-8-2021;Null;770,98;773,01;768,9;771,48
17-8-2021;Null;766,93;772,08;764,65;770,79
16-8-2021;Null;769,64;772,49;767,14;769,78
13-8-2021;Null;773,85;775,5;771,94;774,83
12-8-2021;Null;775,16;778,96;773,95;775,24
11-8-2021;Null;776,6;778,73;774,18;775,84
10-8-2021;Null;773,54;777,26;773,2;775,12
9-8-2021;Null;766,7;772,93;766,7;771,8
6-8-2021;Null;768,03;769,51;766,87;767,82
5-8-2021;Null;763,86;771,56;763,86;768,23
4-8-2021;Null;763,66;767,39;763,06;766,24
3-8-2021;Null;755,81;760,75;754,46;760,08
2-8-2021;Null;760,48;762,19;754,87;758,22
30-7-2021;Null;752,16;759,35;751,37;754,31
29-7-2021;Null;750,96;758,58;750,91;758,08
28-7-2021;Null;739,19;747,82;738,56;747,66
27-7-2021;Null;740,72;741,94;735,67;737,24
26-7-2021;Null;744,36;746,64;742,52;745,1
23-7-2021;Null;741,61;749,78;739,58;749,42
22-7-2021;Null;735,88;741,13;734,97;739,03
21-7-2021;Null;728,24;735,11;728,23;733,74
20-7-2021;Null;723,53;727,84;716,98;722,03
19-7-2021;Null;729,62;729,8;716,23;721,09
16-7-2021;Null;740,37;740,56;734,19;736,52
15-7-2021;Null;741,09;744,53;738,2;739,42
14-7-2021;Null;740,96;747,35;740,85;744,95
13-7-2021;Null;741,22;742,86;738,94;742,86
12-7-2021;Null;731,92;739,4;730,19;738,44
9-7-2021;Null;726,94;732,15;725,53;732,15
8-7-2021;Null;732,6;733,01;718,21;723,11
7-7-2021;Null;733,99;737,95;733,7;737,64
6-7-2021;Null;733,25;735,8;729,19;729,19
5-7-2021;Null;732,17;735,3;730;733,99
2-7-2021;Null;734,08;736,35;731,79;733,55
1-7-2021;Null;734,71;738,1;726,22;731,33
30-6-2021;Null;734,5;735,63;726,85;729,52
29-6-2021;Null;731,47;736,33;731,14;734,19
28-6-2021;Null;730,41;734,69;729,09;730,86
25-6-2021;Null;734,01;734,92;731,29;733,14
24-6-2021;Null;728,08;733,74;727,03;732,7
23-6-2021;Null;731,57;732,18;725,05;725,05
22-6-2021;Null;724,35;729,76;721,87;728,59
21-6-2021;Null;715,16;724,25;713,94;723,77
18-6-2021;Null;733,17;735,63;717,81;719,63
17-6-2021;Null;728,75;736,07;728,47;734,89
16-6-2021;Null;732,68;734,87;731,12;733,5
15-6-2021;Null;733,97;734,64;730,85;730,98
14-6-2021;Null;730,98;734,64;728,4;730,1
11-6-2021;Null;726,7;729;724,99;728,48
10-6-2021;Null;723,66;727,14;721,43;725,45
9-6-2021;Null;719,89;723,25;718,7;722,71
8-6-2021;Null;719,31;723,04;718;719,43
7-6-2021;Null;719,87;721,31;716,08;718,61
4-6-2021;Null;717,15;720,88;716,09;720,18
3-6-2021;Null;718,24;718,38;712,42;717,08
